Dataset,Performance Metric,Increase
"Diabetes
(R_A_FI)",Accuracy,3.34
"Diabetes 
(R_A_FI)",F1 score,8.84
"Diabetes
(R_A_FI)",ROC-AUC Score,5.74
"Liver
(R_AVG_FI)",Accuracy,1.7
"Liver
(R_AVG_FI)",F1 score,0.91
"Liver
(R_AVG_FI)",ROC-AUC Score,3.18
"Hepatitis
(R_FI)",Accuracy,3.15
"Hepatitis
(R_AVG_FI)",F1 score,22.86
"Hepatitis
(R_AVG_FI)",ROC-AUC Score,15.03
"Abalone
(R_AVG_FI)",Accuracy,0.73
"Abalone
(R_A)",F1 score,0.45
"Abalone
(R_AVG_FI)",ROC-AUC Score,0.6
"Water
(R_FI)",Accuracy,2.13
"Water
(R_A_FI)",F1 score,5.24
"Water
(R_A_FI)",ROC-AUC Score,2.76
"Fetal
(R_A_FI)",Accuracy,2.01
"Fetal
(R_A_FI)",F1 score,5.16
"Fetal
(R_A_FI)",ROC-AUC Score,3.88
